Team,Player
Chennai Super Kings,Ruturaj Gaikwad
Chennai Super Kings,MS Dhoni
Chennai Super Kings,Sanju Samson
Chennai Super Kings,Ayush Mhatre
Chennai Super Kings,Dewald Brevis
Chennai Super Kings,Shivam Dube
Chennai Super Kings,Urvil Patel
Chennai Super Kings,Noor Ahmad
Chennai Super Kings,Nathan Ellis
Chennai Super Kings,Shreyas Gopal
Chennai Super Kings,Khaleel Ahmed
Chennai Super Kings,Ramakrishna Ghosh
Chennai Super Kings,Mukesh Choudhary
Chennai Super Kings,Jamie Overton
Chennai Super Kings,Gurjapneet Singh
Chennai Super Kings,Anshul Kamboj
Chennai Super Kings,Prashant Veer
Chennai Super Kings,Kartik Sharma
Chennai Super Kings,Akeal Hosein
Chennai Super Kings,Matt Henry
Chennai Super Kings,Matthew Short
Chennai Super Kings,Aman Khan
Chennai Super Kings,Sarfaraz Khan
Chennai Super Kings,Rahul Chahar
Chennai Super Kings,Zak Foulkes
Delhi Capitals,Nitish Rana
Delhi Capitals,Abishek Porel
Delhi Capitals,Ajay Mandal
Delhi Capitals,Ashutosh Sharma
Delhi Capitals,Axar Patel
Delhi Capitals,Dushmantha Chameera
Delhi Capitals,Karun Nair
Delhi Capitals,KL Rahul
Delhi Capitals,Kuldeep Yadav
Delhi Capitals,Madhav Tiwari
Delhi Capitals,Mitchell Starc
Delhi Capitals,Sameer Rizvi
Delhi Capitals,T Natarajan
Delhi Capitals,Tripurana Vijay
Delhi Capitals,Tristan Stubbs
Delhi Capitals,Vipraj Nigam
Delhi Capitals,Mukesh Kumar
Delhi Capitals,Auqib Nabi Dar
Delhi Capitals,Pathum Nissanka
Delhi Capitals,David Miller
Delhi Capitals,Ben Duckett
Delhi Capitals,Lungi Ngidi
Delhi Capitals,Kyle Jamieson
Delhi Capitals,Prithvi Shaw
Delhi Capitals,Sahil Parakh
Gujarat Titans,Anuj Rawat
Gujarat Titans,Glenn Phillips
Gujarat Titans,Gurnoor Singh Brar
Gujarat Titans,Ishant Sharma
Gujarat Titans,Jayant Yadav
Gujarat Titans,Jos Buttler
Gujarat Titans,Kagiso Rabada
Gujarat Titans,Kumar Kushagra
Gujarat Titans,Manav Suthar
Gujarat Titans,Mohammed Siraj
Gujarat Titans,Arshad Khan
Gujarat Titans,Nishant Sindhu
Gujarat Titans,Prasidh Krishna
Gujarat Titans,R Sai Kishore
Gujarat Titans,Rahul Tewatia
Gujarat Titans,Rashid Khan
Gujarat Titans,Sai Sudharsan
Gujarat Titans,Shahrukh Khan
Gujarat Titans,Shubman Gill
Gujarat Titans,Washington Sundar
Gujarat Titans,Jason Holder
Gujarat Titans,Tom Banton
Gujarat Titans,Ashok Sharma
Gujarat Titans,Luke Wood
Gujarat Titans,Prithvi Raj
Kolkata Knight Riders,Ajinkya Rahane
Kolkata Knight Riders,Angkrish Raghuvanshi
Kolkata Knight Riders,Anukul Roy
Kolkata Knight Riders,Harshit Rana
Kolkata Knight Riders,Manish Pandey
Kolkata Knight Riders,Ramandeep Singh
Kolkata Knight Riders,Rinku Singh
Kolkata Knight Riders,Rovman Powell
Kolkata Knight Riders,Sunil Narine
Kolkata Knight Riders,Umran Malik
Kolkata Knight Riders,Vaibhav Arora
Kolkata Knight Riders,Varun Chakaravarthy
Kolkata Knight Riders,Cameron Green
Kolkata Knight Riders,Mustafizur Rahman
Kolkata Knight Riders,Matheesha Pathirana
Kolkata Knight Riders,Tejasvi Singh
Kolkata Knight Riders,Finn Allen
Kolkata Knight Riders,Rachin Ravindra
Kolkata Knight Riders,Tim Seifert
Kolkata Knight Riders,Akash Deep
Kolkata Knight Riders,Rahul Tripathi
Kolkata Knight Riders,Prashant Solanki
Kolkata Knight Riders,Sarthak Ranjan
Kolkata Knight Riders,Daksh Kamra
Kolkata Knight Riders,Tejasvi Dahiya
Lucknow Super Giants,Abdul Samad
Lucknow Super Giants,Aiden Markram
Lucknow Super Giants,Akash Singh
Lucknow Super Giants,Arjun Tendulkar
Lucknow Super Giants,Arshin Kulkarni
Lucknow Super Giants,Avesh Khan
Lucknow Super Giants,Ayush Badoni
Lucknow Super Giants,Digvesh Rathi
Lucknow Super Giants,Himmat Singh
Lucknow Super Giants,Manimaran Siddharth
Lucknow Super Giants,Matthew Breetzke
Lucknow Super Giants,Mayank Yadav
Lucknow Super Giants,Mohammed Shami
Lucknow Super Giants,Mitchell Marsh
Lucknow Super Giants,Mohsin Khan
Lucknow Super Giants,Nicholas Pooran
Lucknow Super Giants,Prince Yadav
Lucknow Super Giants,Rishabh Pant
Lucknow Super Giants,Mukul Choudhary
Lucknow Super Giants,Naman Tiwari
Lucknow Super Giants,Akshat Raghuwanshi
Lucknow Super Giants,Wanindu Hasaranga
Lucknow Super Giants,Anrich Nortje
Lucknow Super Giants,Josh Inglis
Lucknow Super Giants,Deepak Hooda
Mumbai Indians,Shardul Thakur
Mumbai Indians,Sherfane Rutherford
Mumbai Indians,Mayank Markande
Mumbai Indians,Allah Ghazanfar
Mumbai Indians,Ashwani Kumar
Mumbai Indians,Corbin Bosch
Mumbai Indians,Deepak Chahar
Mumbai Indians,Hardik Pandya
Mumbai Indians,Jasprit Bumrah
Mumbai Indians,Mitchell Santner
Mumbai Indians,Naman Dhir
Mumbai Indians,Raghu Sharma
Mumbai Indians,Raj Bawa
Mumbai Indians,Robin Minz
Mumbai Indians,Rohit Sharma
Mumbai Indians,Ryan Rickelton
Mumbai Indians,Tilak Varma
Mumbai Indians,Trent Boult
Mumbai Indians,Quinton de Kock
Mumbai Indians,Will Jacks
Mumbai Indians,Mayank Rawat
Mumbai Indians,Danish Malewar
Mumbai Indians,Atharva Ankolekar
Mumbai Indians,Jason Behrendorff
Mumbai Indians,Suryakumar Yadav
Punjab Kings,Arshdeep Singh
Punjab Kings,Azmatullah Omarzai
Punjab Kings,Harnoor Singh Pannu
Punjab Kings,Harpreet Brar
Punjab Kings,Lockie Ferguson
Punjab Kings,Marco Jansen
Punjab Kings,Marcus Stoinis
Punjab Kings,Mitch Owen
Punjab Kings,Musheer Khan
Punjab Kings,Nehal Wadhera
Punjab Kings,Prabhsimran Singh
Punjab Kings,Priyansh Arya
Punjab Kings,Pyla Avinash
Punjab Kings,Shashank Singh
Punjab Kings,Shreyas Iyer
Punjab Kings,Suryansh Shedge
Punjab Kings,Vishnu Vinod
Punjab Kings,Vyshak Vijaykumar
Punjab Kings,Xavier Bartlett
Punjab Kings,Yash Thakur
Punjab Kings,Ben Dwarshuis
Punjab Kings,Cooper Connolly
Punjab Kings,Jonny Bairstow
Punjab Kings,Vidwath Kaverappa
Punjab Kings,Harpreet Singh
Rajasthan Royals,Donovan Ferreira
Rajasthan Royals,Ravindra Jadeja
Rajasthan Royals,Sam Curran
Rajasthan Royals,Dhruv Jurel
Rajasthan Royals,Jofra Archer
Rajasthan Royals,Kwena Maphaka
Rajasthan Royals,Lhuan-Dre Pretorius
Rajasthan Royals,Nandre Burger
Rajasthan Royals,Riyan Parag
Rajasthan Royals,Sandeep Sharma
Rajasthan Royals,Shimron Hetmyer
Rajasthan Royals,Shubham Dubey
Rajasthan Royals,Tushar Deshpande
Rajasthan Royals,Vaibhav Suryavanshi
Rajasthan Royals,Yashasvi Jaiswal
Rajasthan Royals,Ravi Bishnoi
Rajasthan Royals,Adam Milne
Rajasthan Royals,Ravi Singh
Rajasthan Royals,Sushant Mishra
Rajasthan Royals,Kuldeep Sen
Rajasthan Royals,Vignesh Puthur
Rajasthan Royals,Yash Punja
Rajasthan Royals,Aman Rao
Rajasthan Royals,Brijesh Sharma
Rajasthan Royals,Abhinav Manohar
Royal Challengers Bengaluru,Virat Kohli
Royal Challengers Bengaluru,Phil Salt
Royal Challengers Bengaluru,Devdutt Padikkal
Royal Challengers Bengaluru,Rajat Patidar
Royal Challengers Bengaluru,Tim David
Royal Challengers Bengaluru,Krunal Pandya
Royal Challengers Bengaluru,Romario Shepherd
Royal Challengers Bengaluru,Jitesh Sharma
Royal Challengers Bengaluru,Bhuvneshwar Kumar
Royal Challengers Bengaluru,Yash Dayal
Royal Challengers Bengaluru,Josh Hazlewood
Royal Challengers Bengaluru,Suyash Sharma
Royal Challengers Bengaluru,Abhinandan Singh
Royal Challengers Bengaluru,Jacob Bethell
Royal Challengers Bengaluru,Nuwan Thushara
Royal Challengers Bengaluru,Rasikh Salam
Royal Challengers Bengaluru,Swapnil Singh
Royal Challengers Bengaluru,Venkatesh Iyer
Royal Challengers Bengaluru,Mangesh Yadav
Royal Challengers Bengaluru,Jacob Duffy
Royal Challengers Bengaluru,Jordan Cox
Royal Challengers Bengaluru,Satvik Deswal
Royal Challengers Bengaluru,Vicky Ostwal
Royal Challengers Bengaluru,Vihaan Malhotra
Royal Challengers Bengaluru,Kanishk Chouhan
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,Aniket Verma
Sunrisers Hyderabad,Brydon Carse
Sunrisers Hyderabad,Eshan Malinga
Sunrisers Hyderabad,Harsh Dubey
Sunrisers Hyderabad,Harshal Patel
Sunrisers Hyderabad,Heinrich Klaasen
Sunrisers Hyderabad,Ishan Kishan
Sunrisers Hyderabad,Jaydev Unadkat
Sunrisers Hyderabad,Kamindu Mendis
Sunrisers Hyderabad,Nitish Kumar Reddy
Sunrisers Hyderabad,Pat Cummins
Sunrisers Hyderabad,Smaran Ravichandran
Sunrisers Hyderabad,Travis Head
Sunrisers Hyderabad,Zeeshan Ansari
Sunrisers Hyderabad,Liam Livingstone
Sunrisers Hyderabad,Jack Edwards
Sunrisers Hyderabad,Salil Arora
Sunrisers Hyderabad,Shivam Mavi
Sunrisers Hyderabad,Shivang Kumar
Sunrisers Hyderabad,Krains Fuletra
Sunrisers Hyderabad,Praful Hinge
Sunrisers Hyderabad,Amit Kumar
Sunrisers Hyderabad,Omkar Tarmale
Sunrisers Hyderabad,Sakib Hussain
